name,registeredUsers,appOpens,year,quarter,state
west siang district,4773,70790,2019,4,arunachal-pradesh
kamle district,323,5098,2019,4,arunachal-pradesh
upper siang district,1804,26060,2019,4,arunachal-pradesh
kurung kumey district,653,7904,2019,4,arunachal-pradesh
siang district,1131,19220,2019,4,arunachal-pradesh
kra daadi district,603,13700,2019,4,arunachal-pradesh
changlang district,9662,152680,2019,4,arunachal-pradesh
pakke kessang district,296,5981,2019,4,arunachal-pradesh
east siang district,9859,132534,2019,4,arunachal-pradesh
upper subansiri district,3144,42354,2019,4,arunachal-pradesh
tawang district,7303,139898,2019,4,arunachal-pradesh
namsai district,5190,87627,2019,4,arunachal-pradesh
lower subansiri district,4351,72887,2020,1,arunachal-pradesh
tirap district,4261,76554,2020,1,arunachal-pradesh
papum pare district,51342,819599,2020,1,arunachal-pradesh
anjaw district,1747,25453,2020,1,arunachal-pradesh
lower siang district,2201,35216,2020,1,arunachal-pradesh
dibang valley district,320,2195,2020,1,arunachal-pradesh
west kameng district,13983,332479,2020,1,arunachal-pradesh
shi yomi district,290,989,2020,1,arunachal-pradesh
east kameng district,1962,37103,2020,1,arunachal-pradesh
lohit district,8454,159158,2020,1,arunachal-pradesh
lepa rada district,1532,28280,2020,1,arunachal-pradesh
lower dibang valley district,4650,71091,2020,1,arunachal-pradesh
longding district,2201,58817,2020,1,arunachal-pradesh
west siang district,5757,97255,2020,1,arunachal-pradesh
kamle district,373,7135,2020,1,arunachal-pradesh
upper siang district,2143,37600,2020,1,arunachal-pradesh
kurung kumey district,725,11471,2020,1,arunachal-pradesh
siang district,1390,24530,2020,1,arunachal-pradesh
kra daadi district,701,16770,2020,1,arunachal-pradesh
changlang district,11262,201632,2020,1,arunachal-pradesh
pakke kessang district,371,9758,2020,1,arunachal-pradesh
east siang district,11298,167166,2020,1,arunachal-pradesh
upper subansiri district,3675,56522,2020,1,arunachal-pradesh
tawang district,8048,138728,2020,1,arunachal-pradesh
namsai district,6029,109933,2020,1,arunachal-pradesh
lower subansiri district,5392,108893,2020,2,arunachal-pradesh
tirap district,5239,114770,2020,2,arunachal-pradesh
papum pare district,59968,932769,2020,2,arunachal-pradesh
anjaw district,1961,34903,2020,2,arunachal-pradesh
lower siang district,2644,48738,2020,2,arunachal-pradesh
dibang valley district,367,4076,2020,2,arunachal-pradesh
west kameng district,15766,394250,2020,2,arunachal-pradesh
shi yomi district,320,1597,2020,2,arunachal-pradesh
east kameng district,2506,53112,2020,2,arunachal-pradesh
lohit district,10154,219948,2020,2,arunachal-pradesh
lepa rada district,1890,38098,2020,2,arunachal-pradesh
lower dibang valley district,5782,110670,2020,2,arunachal-pradesh
longding district,2751,86086,2020,2,arunachal-pradesh
west siang district,7239,147515,2020,2,arunachal-pradesh
kamle district,509,11566,2020,2,arunachal-pradesh
upper siang district,2552,54123,2020,2,arunachal-pradesh
kurung kumey district,834,16738,2020,2,arunachal-pradesh
siang district,1831,40101,2020,2,arunachal-pradesh
kra daadi district,870,25480,2020,2,arunachal-pradesh
changlang district,14036,293705,2020,2,arunachal-pradesh
pakke kessang district,438,13500,2020,2,arunachal-pradesh
east siang district,13601,235755,2020,2,arunachal-pradesh
upper subansiri district,4465,80310,2020,2,arunachal-pradesh
tawang district,8993,170812,2020,2,arunachal-pradesh
namsai district,7426,149491,2020,2,arunachal-pradesh
lower subansiri district,6456,117359,2020,3,arunachal-pradesh
tirap district,6119,125437,2020,3,arunachal-pradesh
papum pare district,69419,1157730,2020,3,arunachal-pradesh
anjaw district,2226,42320,2020,3,arunachal-pradesh
lower siang district,2983,51520,2020,3,arunachal-pradesh
