type,count,amount,name,year,quarter,state
TOTAL,6581,22545311.85089966,longding district,2018,4,arunachal-pradesh
TOTAL,3813,14013986.244825875,west siang district,2018,4,arunachal-pradesh
TOTAL,247,361497.05682825705,kamle district,2018,4,arunachal-pradesh
TOTAL,1041,2157332.9473089008,upper siang district,2018,4,arunachal-pradesh
TOTAL,5725,10811742.670586085,tirap district,2018,4,arunachal-pradesh
TOTAL,55224,154875448.20778143,papum pare district,2018,4,arunachal-pradesh
TOTAL,444,759686.7195777439,kurung kumey district,2018,4,arunachal-pradesh
TOTAL,273,495578.19942643447,anjaw district,2018,4,arunachal-pradesh
TOTAL,822,2176630.237443937,siang district,2018,4,arunachal-pradesh
TOTAL,2883,4533291.201383284,lower siang district,2018,4,arunachal-pradesh
TOTAL,750,3254327.442489025,kra daadi district,2018,4,arunachal-pradesh
TOTAL,13950,32343047.413952358,changlang district,2018,4,arunachal-pradesh
TOTAL,297,462143.5189972004,pakke kessang district,2018,4,arunachal-pradesh
TOTAL,40,97205.28808666342,dibang valley district,2018,4,arunachal-pradesh
TOTAL,25439,89194886.84322134,west kameng district,2018,4,arunachal-pradesh
TOTAL,61,42483.80153055695,shi yomi district,2018,4,arunachal-pradesh
TOTAL,12893,34272134.344916776,east siang district,2018,4,arunachal-pradesh
TOTAL,2686,8771042.079749444,upper subansiri district,2018,4,arunachal-pradesh
TOTAL,1750,5936855.710462087,east kameng district,2018,4,arunachal-pradesh
TOTAL,14268,40510521.949797615,lohit district,2018,4,arunachal-pradesh
TOTAL,932,3023578.1893019043,lepa rada district,2018,4,arunachal-pradesh
TOTAL,11104,35921510.89403269,tawang district,2018,4,arunachal-pradesh
TOTAL,7244,17643523.29373534,namsai district,2018,4,arunachal-pradesh
TOTAL,6314,13738776.18143886,lower dibang valley district,2019,1,arunachal-pradesh
TOTAL,4994,12615032.122891838,lower subansiri district,2019,1,arunachal-pradesh
TOTAL,7287,25349462.055245366,longding district,2019,1,arunachal-pradesh
TOTAL,5921,19426751.301233895,west siang district,2019,1,arunachal-pradesh
TOTAL,391,725807.1059240355,kamle district,2019,1,arunachal-pradesh
