entityName,metric.type,metric.count,metric.amount,year,quarter,state
517501,TOTAL,165506,305629373.15863353,2018,2,andhra-pradesh
518502,TOTAL,140893,127814123.87394845,2018,2,andhra-pradesh
515001,TOTAL,129798,285924993.6163615,2018,2,andhra-pradesh
517507,TOTAL,127731,243405277.90481398,2018,2,andhra-pradesh
520001,TOTAL,123176,271911611.0495833,2018,2,andhra-pradesh
516001,TOTAL,114806,242175477.6115077,2018,2,andhra-pradesh
530016,TOTAL,111874,235770318.03054443,2018,2,andhra-pradesh
520010,TOTAL,100630,220730389.6490364,2018,2,andhra-pradesh
516360,TOTAL,96619,197068813.60447282,2018,2,andhra-pradesh
518501,TOTAL,93442,163942778.22947574,2018,2,andhra-pradesh
visakhapatnam,TOTAL,3394576,4821892253.393524,2018,3,andhra-pradesh
east godavari,TOTAL,3226907,3551247095.3074465,2018,3,andhra-pradesh
kurnool,TOTAL,2921189,2908389261.5397735,2018,3,andhra-pradesh
krishna,TOTAL,2396934,3754202654.3844614,2018,3,andhra-pradesh
chittoor,TOTAL,2297429,3283517630.720593,2018,3,andhra-pradesh
guntur,TOTAL,1912529,3127764663.180438,2018,3,andhra-pradesh
anantapur,TOTAL,1815215,2681787750.464165,2018,3,andhra-pradesh
ysr,TOTAL,1557444,2235904512.2542048,2018,3,andhra-pradesh
west godavari,TOTAL,1431282,2309078492.805815,2018,3,andhra-pradesh
prakasam,TOTAL,1319651,2346453445.4838424,2018,3,andhra-pradesh
518502,TOTAL,1300146,709765829.9649723,2018,3,andhra-pradesh
533437,TOTAL,421968,240766495.05853492,2018,3,andhra-pradesh
518501,TOTAL,296154,291247918.8462258,2018,3,andhra-pradesh
517501,TOTAL,295403,466133618.6014985,2018,3,andhra-pradesh
515001,TOTAL,276595,438158383.2247275,2018,3,andhra-pradesh
530016,TOTAL,234494,380410223.19526947,2018,3,andhra-pradesh
517507,TOTAL,233347,386563858.6898683,2018,3,andhra-pradesh
516259,TOTAL,220165,109844218.671292,2018,3,andhra-pradesh
520011,TOTAL,213275,291805923.00111276,2018,3,andhra-pradesh
520001,TOTAL,206435,371140000.30740225,2018,3,andhra-pradesh
visakhapatnam,TOTAL,4791421,7366635864.849373,2018,4,andhra-pradesh
chittoor,TOTAL,3166201,4979093890.223491,2018,4,andhra-pradesh
east godavari,TOTAL,3052762,4652624623.436675,2018,4,andhra-pradesh
krishna,TOTAL,2839161,5416251838.130407,2018,4,andhra-pradesh
guntur,TOTAL,2546620,4730251217.696959,2018,4,andhra-pradesh
kurnool,TOTAL,2508530,3626544852.4069242,2018,4,andhra-pradesh
anantapur,TOTAL,2286391,3975878156.329829,2018,4,andhra-pradesh
spsr nellore,TOTAL,1814997,3293448556.973445,2018,4,andhra-pradesh
ysr,TOTAL,1732527,3252340063.2478595,2018,4,andhra-pradesh
prakasam,TOTAL,1692862,3255254226.03728,2018,4,andhra-pradesh
518502,TOTAL,441662,332201263.2829269,2018,4,andhra-pradesh
517501,TOTAL,423357,714887920.0334857,2018,4,andhra-pradesh
530016,TOTAL,367619,575982481.3389585,2018,4,andhra-pradesh
515001,TOTAL,355695,651952970.9302757,2018,4,andhra-pradesh
517507,TOTAL,318300,594747982.0458119,2018,4,andhra-pradesh
530003,TOTAL,277131,356075793.85855436,2018,4,andhra-pradesh
516001,TOTAL,269798,572252390.1920383,2018,4,andhra-pradesh
520010,TOTAL,250261,492229977.1570112,2018,4,andhra-pradesh
530017,TOTAL,248725,326891428.60271376,2018,4,andhra-pradesh
518501,TOTAL,248520,357423401.5571966,2018,4,andhra-pradesh
visakhapatnam,TOTAL,9690866,13459857440.552685,2019,1,andhra-pradesh
chittoor,TOTAL,6486813,8223371732.233585,2019,1,andhra-pradesh
krishna,TOTAL,5443981,9061346433.072681,2019,1,andhra-pradesh
east godavari,TOTAL,5440146,7382264724.59952,2019,1,andhra-pradesh
guntur,TOTAL,4846553,7765934169.404485,2019,1,andhra-pradesh
kurnool,TOTAL,4193432,5541564892.509682,2019,1,andhra-pradesh
anantapur,TOTAL,3891336,6044730653.191345,2019,1,andhra-pradesh
spsr nellore,TOTAL,3333584,5161932216.216368,2019,1,andhra-pradesh
prakasam,TOTAL,2931081,4807527779.215151,2019,1,andhra-pradesh
ysr,TOTAL,2852197,4915811593.896078,2019,1,andhra-pradesh
530001,TOTAL,950821,1529039457.6419592,2019,1,andhra-pradesh
517501,TOTAL,922416,1244725311.4573965,2019,1,andhra-pradesh
520001,TOTAL,814616,1462807205.627422,2019,1,andhra-pradesh
530016,TOTAL,684611,960022481.5524917,2019,1,andhra-pradesh
517507,TOTAL,671661,1009128524.8128469,2019,1,andhra-pradesh
515001,TOTAL,609682,1009938283.8464416,2019,1,andhra-pradesh
518502,TOTAL,545426,389782596.9665674,2019,1,andhra-pradesh
530003,TOTAL,527667,590799502.8850918,2019,1,andhra-pradesh
530017,TOTAL,472914,531596255.9349663,2019,1,andhra-pradesh
520010,TOTAL,460133,774931063.0289192,2019,1,andhra-pradesh
visakhapatnam,TOTAL,11705738,20797479804.029076,2019,2,andhra-pradesh
krishna,TOTAL,6428472,13437029115.620754,2019,2,andhra-pradesh
chittoor,TOTAL,5983308,10982727976.224325,2019,2,andhra-pradesh
guntur,TOTAL,5005275,10405246943.481495,2019,2,andhra-pradesh
east godavari,TOTAL,4699261,9116404622.47651,2019,2,andhra-pradesh
kurnool,TOTAL,3895824,7358285187.018034,2019,2,andhra-pradesh
